SEQ	Code	Version	Class_Kind	Usage_Kind	Super_Class	Label	REF	Children_count	Descendant_count	PATH
93	A16.7	2019	category		A16	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
94	A16.8	2019	category		A16	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
95	A16.9	2019	category		A16	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation		0	0	ICD10 2019~I~A15-A19~A16
96	A17	2019	category	dagger	A15-A19	Tuberculosis of nervous system		4	0	ICD10 2019~I~A15-A19
97	A17.0	2019	category	dagger	A17	Tuberculous meningitis	G01*	0	0	ICD10 2019~I~A15-A19~A17
98	A17.1	2019	category	dagger	A17	Meningeal tuberculoma	G07*	0	0	ICD10 2019~I~A15-A19~A17
99	A17.8	2019	category	dagger	A17	Other tuberculosis of nervous system		0	0	ICD10 2019~I~A15-A19~A17
100	A17.9	2019	category	dagger	A17	Tuberculosis of nervous system, unspecified	G99.8*	0	0	ICD10 2019~I~A15-A19~A17
101	A18	2019	category		A15-A19	Tuberculosis of other organs		9	0	ICD10 2019~I~A15-A19
102	A18.0	2019	category	dagger	A18	Tuberculosis of bones and joints		0	0	ICD10 2019~I~A15-A19~A18
103	A18.1	2019	category	dagger	A18	Tuberculosis of genitourinary system		0	0	ICD10 2019~I~A15-A19~A18
104	A18.2	2019	category		A18	Tuberculous peripheral lymphadenopathy		0	0	ICD10 2019~I~A15-A19~A18
105	A18.3	2019	category		A18	Tuberculosis of intestines, peritoneum and mesenteric glands		0	0	ICD10 2019~I~A15-A19~A18
106	A18.4	2019	category		A18	Tuberculosis of skin and subcutaneous tissue		0	0	ICD10 2019~I~A15-A19~A18
107	A18.5	2019	category		A18	Tuberculosis of eye		0	0	ICD10 2019~I~A15-A19~A18
108	A18.6	2019	category		A18	Tuberculosis of ear		0	0	ICD10 2019~I~A15-A19~A18
109	A18.7	2019	category	dagger	A18	Tuberculosis of adrenal glands	E35.1*	0	0	ICD10 2019~I~A15-A19~A18
110	A18.8	2019	category		A18	Tuberculosis of other specified organs		0	0	ICD10 2019~I~A15-A19~A18
111	A19	2019	category		A15-A19	Miliary tuberculosis		5	0	ICD10 2019~I~A15-A19
112	A19.0	2019	category		A19	Acute miliary tuberculosis of a single specified site		0	0	ICD10 2019~I~A15-A19~A19
113	A19.1	2019	category		A19	Acute miliary tuberculosis of multiple sites		0	0	ICD10 2019~I~A15-A19~A19
114	A19.2	2019	category		A19	Acute miliary tuberculosis, unspecified		0	0	ICD10 2019~I~A15-A19~A19
115	A19.8	2019	category		A19	Other miliary tuberculosis		0	0	ICD10 2019~I~A15-A19~A19
116	A19.9	2019	category		A19	Miliary tuberculosis, unspecified		0	0	ICD10 2019~I~A15-A19~A19
117	A20-A28	2019	block		I	Certain zoonotic bacterial diseases		9	0	ICD10 2019~I
118	A20	2019	category		A20-A28	Plague		7	0	ICD10 2019~I~A20-A28
119	A20.0	2019	category		A20	Bubonic plague		0	0	ICD10 2019~I~A20-A28~A20
120	A20.1	2019	category		A20	Cellulocutaneous plague		0	0	ICD10 2019~I~A20-A28~A20
121	A20.2	2019	category		A20	Pneumonic plague		0	0	ICD10 2019~I~A20-A28~A20
122	A20.3	2019	category		A20	Plague meningitis		0	0	ICD10 2019~I~A20-A28~A20
123	A20.7	2019	category		A20	Septicaemic plague		0	0	ICD10 2019~I~A20-A28~A20
124	A20.8	2019	category		A20	Other forms of plague		0	0	ICD10 2019~I~A20-A28~A20
125	A20.9	2019	category		A20	Plague, unspecified		0	0	ICD10 2019~I~A20-A28~A20
126	A21	2019	category		A20-A28	Tularaemia		7	0	ICD10 2019~I~A20-A28
127	A21.0	2019	category		A21	Ulceroglandular tularaemia		0	0	ICD10 2019~I~A20-A28~A21
128	A21.1	2019	category		A21	Oculoglandular tularaemia		0	0	ICD10 2019~I~A20-A28~A21
129	A21.2	2019	category		A21	Pulmonary tularaemia		0	0	ICD10 2019~I~A20-A28~A21
130	A21.3	2019	category		A21	Gastrointestinal tularaemia		0	0	ICD10 2019~I~A20-A28~A21
131	A21.7	2019	category		A21	Generalized tularaemia		0	0	ICD10 2019~I~A20-A28~A21
132	A21.8	2019	category		A21	Other forms of tularaemia		0	0	ICD10 2019~I~A20-A28~A21
133	A21.9	2019	category		A21	Tularaemia, unspecified		0	0	ICD10 2019~I~A20-A28~A21
134	A22	2019	category		A20-A28	Anthrax		6	0	ICD10 2019~I~A20-A28
135	A22.0	2019	category		A22	Cutaneous anthrax		0	0	ICD10 2019~I~A20-A28~A22
136	A22.1	2019	category		A22	Pulmonary anthrax		0	0	ICD10 2019~I~A20-A28~A22
137	A22.2	2019	category		A22	Gastrointestinal anthrax		0	0	ICD10 2019~I~A20-A28~A22
138	A22.7	2019	category		A22	Anthrax sepsis		0	0	ICD10 2019~I~A20-A28~A22
139	A22.8	2019	category		A22	Other forms of anthrax		0	0	ICD10 2019~I~A20-A28~A22
140	A22.9	2019	category		A22	Anthrax, unspecified		0	0	ICD10 2019~I~A20-A28~A22
141	A23	2019	category		A20-A28	Brucellosis		6	0	ICD10 2019~I~A20-A28
142	A23.0	2019	category		A23	Brucellosis due to Brucella melitensis		0	0	ICD10 2019~I~A20-A28~A23
143	A23.1	2019	category		A23	Brucellosis due to Brucella abortus		0	0	ICD10 2019~I~A20-A28~A23
144	A23.2	2019	category		A23	Brucellosis due to Brucella suis		0	0	ICD10 2019~I~A20-A28~A23
145	A23.3	2019	category		A23	Brucellosis due to Brucella canis		0	0	ICD10 2019~I~A20-A28~A23
146	A23.8	2019	category		A23	Other brucellosis		0	0	ICD10 2019~I~A20-A28~A23
147	A23.9	2019	category		A23	Brucellosis, unspecified		0	0	ICD10 2019~I~A20-A28~A23
148	A24	2019	category		A20-A28	Glanders and melioidosis		5	0	ICD10 2019~I~A20-A28
149	A24.0	2019	category		A24	Glanders		0	0	ICD10 2019~I~A20-A28~A24
150	A24.1	2019	category		A24	Acute and fulminating melioidosis		0	0	ICD10 2019~I~A20-A28~A24
151	A24.2	2019	category		A24	Subacute and chronic melioidosis		0	0	ICD10 2019~I~A20-A28~A24
152	A24.3	2019	category		A24	Other melioidosis		0	0	ICD10 2019~I~A20-A28~A24
153	A24.4	2019	category		A24	Melioidosis, unspecified		0	0	ICD10 2019~I~A20-A28~A24
154	A25	2019	category		A20-A28	Rat-bite fevers		3	0	ICD10 2019~I~A20-A28
155	A25.0	2019	category		A25	Spirillosis		0	0	ICD10 2019~I~A20-A28~A25
156	A25.1	2019	category		A25	Streptobacillosis		0	0	ICD10 2019~I~A20-A28~A25
157	A25.9	2019	category		A25	Rat-bite fever, unspecified		0	0	ICD10 2019~I~A20-A28~A25
158	A26	2019	category		A20-A28	Erysipeloid		4	0	ICD10 2019~I~A20-A28
159	A26.0	2019	category		A26	Cutaneous erysipeloid		0	0	ICD10 2019~I~A20-A28~A26
160	A26.7	2019	category		A26	Erysipelothrix sepsis		0	0	ICD10 2019~I~A20-A28~A26
161	A26.8	2019	category		A26	Other forms of erysipeloid		0	0	ICD10 2019~I~A20-A28~A26
162	A26.9	2019	category		A26	Erysipeloid, unspecified		0	0	ICD10 2019~I~A20-A28~A26
163	A27	2019	category		A20-A28	Leptospirosis		3	0	ICD10 2019~I~A20-A28
164	A27.0	2019	category		A27	Leptospirosis icterohaemorrhagica		0	0	ICD10 2019~I~A20-A28~A27
165	A27.8	2019	category		A27	Other forms of leptospirosis		0	0	ICD10 2019~I~A20-A28~A27
166	A27.9	2019	category		A27	Leptospirosis, unspecified		0	0	ICD10 2019~I~A20-A28~A27
167	A28	2019	category		A20-A28	Other zoonotic bacterial diseases, not elsewhere classified		5	0	ICD10 2019~I~A20-A28
168	A28.0	2019	category		A28	Pasteurellosis		0	0	ICD10 2019~I~A20-A28~A28
169	A28.1	2019	category		A28	Cat-scratch disease		0	0	ICD10 2019~I~A20-A28~A28
170	A28.2	2019	category		A28	Extraintestinal yersiniosis		0	0	ICD10 2019~I~A20-A28~A28
171	A28.8	2019	category		A28	Other specified zoonotic bacterial diseases, not elsewhere classified		0	0	ICD10 2019~I~A20-A28~A28
172	A28.9	2019	category		A28	Zoonotic bacterial disease, unspecified		0	0	ICD10 2019~I~A20-A28~A28
173	A30-A49	2019	block		I	Other bacterial diseases		18	0	ICD10 2019~I
174	A30	2019	category		A30-A49	Leprosy [Hansen disease]		8	0	ICD10 2019~I~A30-A49
175	A30.0	2019	category		A30	Indeterminate leprosy		0	0	ICD10 2019~I~A30-A49~A30
176	A30.1	2019	category		A30	Tuberculoid leprosy		0	0	ICD10 2019~I~A30-A49~A30
177	A30.2	2019	category		A30	Borderline tuberculoid leprosy		0	0	ICD10 2019~I~A30-A49~A30
178	A30.3	2019	category		A30	Borderline leprosy		0	0	ICD10 2019~I~A30-A49~A30
179	A30.4	2019	category		A30	Borderline lepromatous leprosy		0	0	ICD10 2019~I~A30-A49~A30
180	A30.5	2019	category		A30	Lepromatous leprosy		0	0	ICD10 2019~I~A30-A49~A30
181	A30.8	2019	category		A30	Other forms of leprosy		0	0	ICD10 2019~I~A30-A49~A30
182	A30.9	2019	category		A30	Leprosy, unspecified		0	0	ICD10 2019~I~A30-A49~A30
183	A31	2019	category		A30-A49	Infection due to other mycobacteria		4	0	ICD10 2019~I~A30-A49
184	A31.0	2019	category		A31	Pulmonary mycobacterial infection		0	0	ICD10 2019~I~A30-A49~A31
185	A31.1	2019	category		A31	Cutaneous mycobacterial infection		0	0	ICD10 2019~I~A30-A49~A31
186	A31.8	2019	category		A31	Other mycobacterial infections		0	0	ICD10 2019~I~A30-A49~A31
187	A31.9	2019	category		A31	Mycobacterial infection, unspecified		0	0	ICD10 2019~I~A30-A49~A31
188	A32	2019	category		A30-A49	Listeriosis		5	0	ICD10 2019~I~A30-A49
189	A32.0	2019	category		A32	Cutaneous listeriosis		0	0	ICD10 2019~I~A30-A49~A32
190	A32.1	2019	category	dagger	A32	Listerial meningitis and meningoencephalitis		0	0	ICD10 2019~I~A30-A49~A32
191	A32.7	2019	category		A32	Listerial sepsis		0	0	ICD10 2019~I~A30-A49~A32
192	A32.8	2019	category		A32	Other forms of listeriosis		0	0	ICD10 2019~I~A30-A49~A32
193	A32.9	2019	category		A32	Listeriosis, unspecified		0	0	ICD10 2019~I~A30-A49~A32
194	A33	2019	category		A30-A49	Tetanus neonatorum		0	0	ICD10 2019~I~A30-A49
195	A34	2019	category		A30-A49	Obstetrical tetanus		0	0	ICD10 2019~I~A30-A49
196	A35	2019	category		A30-A49	Other tetanus		0	0	ICD10 2019~I~A30-A49
197	A36	2019	category		A30-A49	Diphtheria		6	0	ICD10 2019~I~A30-A49
198	A36.0	2019	category		A36	Pharyngeal diphtheria		0	0	ICD10 2019~I~A30-A49~A36
199	A36.1	2019	category		A36	Nasopharyngeal diphtheria		0	0	ICD10 2019~I~A30-A49~A36
200	A36.2	2019	category		A36	Laryngeal diphtheria		0	0	ICD10 2019~I~A30-A49~A36
201	A36.3	2019	category		A36	Cutaneous diphtheria		0	0	ICD10 2019~I~A30-A49~A36
202	A36.8	2019	category		A36	Other diphtheria		0	0	ICD10 2019~I~A30-A49~A36
203	A36.9	2019	category		A36	Diphtheria, unspecified		0	0	ICD10 2019~I~A30-A49~A36
204	A37	2019	category		A30-A49	Whooping cough		4	0	ICD10 2019~I~A30-A49
205	A37.0	2019	category		A37	Whooping cough due to Bordetella pertussis		0	0	ICD10 2019~I~A30-A49~A37
206	A37.1	2019	category		A37	Whooping cough due to Bordetella parapertussis		0	0	ICD10 2019~I~A30-A49~A37
207	A37.8	2019	category		A37	Whooping cough due to other Bordetella species		0	0	ICD10 2019~I~A30-A49~A37
208	A37.9	2019	category		A37	Whooping cough, unspecified		0	0	ICD10 2019~I~A30-A49~A37
209	A38	2019	category		A30-A49	Scarlet fever		0	0	ICD10 2019~I~A30-A49
210	A39	2019	category		A30-A49	Meningococcal infection		8	0	ICD10 2019~I~A30-A49
211	A39.0	2019	category	dagger	A39	Meningococcal meningitis	G01*	0	0	ICD10 2019~I~A30-A49~A39
212	A39.1	2019	category	dagger	A39	Waterhouse-Friderichsen syndrome	E35.1*	0	0	ICD10 2019~I~A30-A49~A39
213	A39.2	2019	category		A39	Acute meningococcaemia		0	0	ICD10 2019~I~A30-A49~A39
214	A39.3	2019	category		A39	Chronic meningococcaemia		0	0	ICD10 2019~I~A30-A49~A39
215	A39.4	2019	category		A39	Meningococcaemia, unspecified		0	0	ICD10 2019~I~A30-A49~A39
216	A39.5	2019	category	dagger	A39	Meningococcal heart disease		0	0	ICD10 2019~I~A30-A49~A39
217	A39.8	2019	category		A39	Other meningococcal infections		0	0	ICD10 2019~I~A30-A49~A39
218	A39.9	2019	category		A39	Meningococcal infection, unspecified		0	0	ICD10 2019~I~A30-A49~A39
219	A40	2019	category		A30-A49	Streptococcal sepsis		6	0	ICD10 2019~I~A30-A49
220	A40.0	2019	category		A40	Sepsis due to streptococcus, group A		0	0	ICD10 2019~I~A30-A49~A40
221	A40.1	2019	category		A40	Sepsis due to streptococcus, group B		0	0	ICD10 2019~I~A30-A49~A40
222	A40.2	2019	category		A40	Sepsis due to streptococcus, group D and enterococcus		0	0	ICD10 2019~I~A30-A49~A40
223	A40.3	2019	category		A40	Sepsis due to Streptococcus pneumoniae		0	0	ICD10 2019~I~A30-A49~A40
224	A40.8	2019	category		A40	Other streptococcal sepsis		0	0	ICD10 2019~I~A30-A49~A40
225	A40.9	2019	category		A40	Streptococcal sepsis, unspecified		0	0	ICD10 2019~I~A30-A49~A40
226	A41	2019	category		A30-A49	Other sepsis		8	0	ICD10 2019~I~A30-A49
227	A41.0	2019	category		A41	Sepsis due to Staphylococcus aureus		0	0	ICD10 2019~I~A30-A49~A41
228	A41.1	2019	category		A41	Sepsis due to other specified staphylococcus		0	0	ICD10 2019~I~A30-A49~A41
229	A41.2	2019	category		A41	Sepsis due to unspecified staphylococcus		0	0	ICD10 2019~I~A30-A49~A41
230	A41.3	2019	category		A41	Sepsis due to Haemophilus influenzae		0	0	ICD10 2019~I~A30-A49~A41
231	A41.4	2019	category		A41	Sepsis due to anaerobes		0	0	ICD10 2019~I~A30-A49~A41
232	A41.5	2019	category		A41	Sepsis due to other Gram-negative organisms		0	0	ICD10 2019~I~A30-A49~A41
233	A41.8	2019	category		A41	Other specified sepsis		0	0	ICD10 2019~I~A30-A49~A41
234	A41.9	2019	category		A41	Sepsis, unspecified		0	0	ICD10 2019~I~A30-A49~A41
235	A42	2019	category		A30-A49	Actinomycosis		6	0	ICD10 2019~I~A30-A49
236	A42.0	2019	category		A42	Pulmonary actinomycosis		0	0	ICD10 2019~I~A30-A49~A42
237	A42.1	2019	category		A42	Abdominal actinomycosis		0	0	ICD10 2019~I~A30-A49~A42
238	A42.2	2019	category		A42	Cervicofacial actinomycosis		0	0	ICD10 2019~I~A30-A49~A42
239	A42.7	2019	category		A42	Actinomycotic sepsis		0	0	ICD10 2019~I~A30-A49~A42
240	A42.8	2019	category		A42	Other forms of actinomycosis		0	0	ICD10 2019~I~A30-A49~A42
241	A42.9	2019	category		A42	Actinomycosis, unspecified		0	0	ICD10 2019~I~A30-A49~A42
242	A43	2019	category		A30-A49	Nocardiosis		4	0	ICD10 2019~I~A30-A49
243	A43.0	2019	category		A43	Pulmonary nocardiosis		0	0	ICD10 2019~I~A30-A49~A43
244	A43.1	2019	category		A43	Cutaneous nocardiosis		0	0	ICD10 2019~I~A30-A49~A43
245	A43.8	2019	category		A43	Other forms of nocardiosis		0	0	ICD10 2019~I~A30-A49~A43
246	A43.9	2019	category		A43	Nocardiosis, unspecified		0	0	ICD10 2019~I~A30-A49~A43
247	A44	2019	category		A30-A49	Bartonellosis		4	0	ICD10 2019~I~A30-A49
248	A44.0	2019	category		A44	Systemic bartonellosis		0	0	ICD10 2019~I~A30-A49~A44
249	A44.1	2019	category		A44	Cutaneous and mucocutaneous bartonellosis		0	0	ICD10 2019~I~A30-A49~A44
250	A44.8	2019	category		A44	Other forms of bartonellosis		0	0	ICD10 2019~I~A30-A49~A44
251	A44.9	2019	category		A44	Bartonellosis, unspecified		0	0	ICD10 2019~I~A30-A49~A44
252	A46	2019	category		A30-A49	Erysipelas		0	0	ICD10 2019~I~A30-A49
253	A48	2019	category		A30-A49	Other bacterial diseases, not elsewhere classified		6	0	ICD10 2019~I~A30-A49
254	A48.0	2019	category		A48	Gas gangrene		0	0	ICD10 2019~I~A30-A49~A48
255	A48.1	2019	category		A48	Legionnaires disease		0	0	ICD10 2019~I~A30-A49~A48
256	A48.2	2019	category		A48	Nonpneumonic Legionnaires disease [Pontiac fever]		0	0	ICD10 2019~I~A30-A49~A48
257	A48.3	2019	category		A48	Toxic shock syndrome		0	0	ICD10 2019~I~A30-A49~A48
258	A48.4	2019	category		A48	Brazilian purpuric fever		0	0	ICD10 2019~I~A30-A49~A48
259	A48.8	2019	category		A48	Other specified bacterial diseases		0	0	ICD10 2019~I~A30-A49~A48
260	A49	2019	category		A30-A49	Bacterial infection of unspecified site		6	0	ICD10 2019~I~A30-A49
261	A49.0	2019	category		A49	Staphylococcal infection, unspecified site		0	0	ICD10 2019~I~A30-A49~A49
262	A49.1	2019	category		A49	Streptococcal and enterococcal infection, unspecified site		0	0	ICD10 2019~I~A30-A49~A49
263	A49.2	2019	category		A49	Haemophilus influenzae infection, unspecified site		0	0	ICD10 2019~I~A30-A49~A49
264	A49.3	2019	category		A49	Mycoplasma infection, unspecified site		0	0	ICD10 2019~I~A30-A49~A49
265	A49.8	2019	category		A49	Other bacterial infections of unspecified site		0	0	ICD10 2019~I~A30-A49~A49
